告诉海,,,未知/,https://www.douban.com/location/drama/11636787/
爱上邓丽君,7.4,137,Joey来自百老汇的一线导演/,https://www.douban.com/location/drama/10944685/
秋裤和擀面杖,7.5,224,张文潇/,https://www.douban.com/location/drama/27115460/
故宫里的大怪兽之吻兽使命,6.5,16,叶逊谦/,https://www.douban.com/location/drama/30361170/
合租时代,,,沈文帅/,https://www.douban.com/location/drama/20561986/
兵马俑,,,羅啟仁/,https://www.douban.com/location/drama/19951166/
奇幻闹钟事件簿,,,刘能一/,https://www.douban.com/location/drama/27104839/
昆仑神话,6.2,35,周申/,https://www.douban.com/location/drama/20445501/
森林诱惑（又名拜访森林）,8.9,1170,詹姆斯.拉平恩（James Lapine）/理查德.琼斯（Richard Jones）/Timothy Sheader/汤姆·奥索夫斯基/范卫华/詹姆斯.拉平恩（James Lapine）/理查德.琼斯（Richard Jones）/詹姆斯.拉平恩（James Lapine）/詹姆斯.拉平恩（James Lapine）/Timothy Sheader/汤姆·奥索夫斯基/范卫华/赵永斌/钟浩/Noah Brody/Ben Steinfeld/韩杰/赵永斌/Tim McArthur/James Lapine/,https://www.douban.com/location/drama/1439172/
鲜花烈火,,,郁百杨/,https://www.douban.com/location/drama/17101433/
小城之春,,,王芳/,https://www.douban.com/location/drama/27619746/
我，堂吉诃德,8.2,4866,Joseph Graves/Joseph Graves 约瑟夫·格雷夫斯/Jonathan Kent/Albert Marre/Julia Rodriguez-Elliott/Joseph Graves/Joseph Graves 约瑟夫·格雷夫斯/Jonathan Kent/Albert Marre/Albert Marre/Albert Marre/Albert Marre/Julia Rodriguez-Elliott/,https://www.douban.com/location/drama/10944535/
时光旅行局意外事件,7.0,69,魏玮/,https://www.douban.com/location/drama/33383637/
至乐汇音乐剧高手,6.0,149,樊冲/监制：陈铭章/执行导演：方毅恒/,https://www.douban.com/location/drama/27031635/
大力水手,,,李宗熹/,https://www.douban.com/location/drama/34910615/
香妃,4.3,11,蒋可/,https://www.douban.com/location/drama/23707862/
兰波,6.2,236,李心毅/,https://www.douban.com/location/drama/30400015/
TA不见了,6.2,115,方毅恒/,https://www.douban.com/location/drama/30483345/
我已经不再是我,7.7,46,刘璐/刘璐/刘璐/,https://www.douban.com/location/drama/27201134/
蝶,8.7,1430,吉勒·马呜 Gilles Maheau/勒·马呜 Gilles Maheau/吉勒·马呜 Gilles Maheau/吉勒·马呜 Gilles Maheau/勒·马呜 Gilles Maheau/,https://www.douban.com/location/drama/10944682/
聂小倩与宁采臣,8.2,250,黄凯/,https://www.douban.com/location/drama/26319711/
再见，1990,,,高瑞嘉/,https://www.douban.com/location/drama/33452117/
中文版灰姑娘,5.7,278,Joseph Graves/,https://www.douban.com/location/drama/30232910/
中文版近乎正常,7.4,686,Joseph Graves/,https://www.douban.com/location/drama/30291281/
快把我哥带走,6.0,44,崔重敏/,https://www.douban.com/location/drama/34905945/
我期待,,,张晨/朱峰/,https://www.douban.com/location/drama/26287193/
天天想你,4.6,40,姜富琴/姜富琴/姜富琴/,https://www.douban.com/location/drama/26700896/
焢肉，遇见你,7.0,16,高天恒/高天恒/高天恒/,https://www.douban.com/location/drama/27599483/
倾城记,,,韩圭晶/,https://www.douban.com/location/drama/30485398/
美丽的错误,,,伍锦涛/,https://www.douban.com/location/drama/19897568/
东区卡门,,,伍锦涛/,https://www.douban.com/location/drama/12059443/
